time,open,high,low,close,max_amount_price
57,12.55,12.85,12.52,12.85,12.6
58,12.85,12.88,12.73,12.73,12.85
59,12.72,12.82,12.62,12.79,12.74
60,12.8,12.97,12.79,12.97,12.86
61,12.95,12.96,12.8,12.87,12.85
62,12.87,12.9,12.81,12.81,12.83
63,12.81,12.81,12.6,12.75,12.62
64,12.75,12.8,12.68,12.71,12.69
65,12.72,12.82,12.72,12.78,12.76
66,12.79,12.82,12.69,12.73,12.78
67,12.71,12.73,12.61,12.62,12.65
68,12.62,12.66,12.6,12.64,12.61
78,12.63,12.63,12.58,12.61,12.6
79,12.62,12.69,12.59,12.62,12.63
80,12.63,12.71,12.63,12.63,12.65
81,12.63,12.63,12.54,12.56,12.56
82,12.56,12.56,12.48,12.55,12.55
83,12.55,12.65,12.54,12.65,12.56
84,12.64,12.64,12.45,12.46,12.5
85,12.46,12.55,12.35,12.41,12.42
86,12.42,12.61,12.42,12.48,12.5
87,12.48,12.6,12.42,12.42,12.49
88,12.43,12.45,12.3,12.31,12.31
89,12.31,12.55,12.26,12.45,12.3
