time,price,status,amount
92504,12.6,S,100
92504,12.6,S,100
92504,12.6,B,100
92504,12.6,S,500
92504,12.6,S,500
92504,12.6,S,200
92504,12.6,S,1800
92504,12.6,S,800
92504,12.6,S,800
92504,12.6,S,200
92504,12.6,S,500
92504,12.6,S,1000
92504,12.6,S,400
92504,12.6,B,400
93002,12.55,S,900
93002,12.58,B,1000
93002,12.55,S,500
93003,12.58,B,500
93003,12.55,S,700
93003,12.55,B,300
93003,12.55,B,1000
93003,12.55,B,1400
93003,12.58,B,3500
93003,12.59,B,2000
93003,12.6,B,1600
93003,12.6,B,200
93004,12.53,S,800
93004,12.52,S,400
93004,12.55,B,200
93004,12.55,B,10000
93004,12.55,B,5000
93004,12.58,B,200
93004,12.58,B,1000
93004,12.6,B,17800
93004,12.6,B,1100
93004,12.6,B,9400
93004,12.6,B,600
93004,12.6,B,200
93005,12.6,S,4500
93005,12.55,B,100
93006,12.52,S,1000
93006,12.55,B,500
93006,12.55,B,87
93006,12.55,B,13
93007,12.53,B,100
93007,12.53,B,300
93008,12.52,S,600
93009,12.52,B,400
93009,12.53,B,400
93009,12.55,B,187
93009,12.55,B,600
93009,12.55,B,1000
93009,12.55,B,413
93009,12.55,B,587
93009,12.55,B,1000
93010,12.57,B,100
93016,12.57,B,500
93017,12.55,S,1000
93018,12.57,B,2400
93022,12.57,B,300
93024,12.57,B,300
93026,12.57,B,1000
93027,12.57,B,200
93031,12.57,B,200
93031,12.55,S,200
93031,12.55,S,1100
93032,12.57,B,100
93035,12.55,S,1113
93035,12.55,S,600
93035,12.55,S,500
93035,12.55,B,100
93038,12.55,B,100
93042,12.55,B,1887
93047,12.57,B,100
93057,12.57,B,300
93057,12.57,S,700
93108,12.59,B,200
93108,12.59,B,300
93114,12.6,B,1000
93114,12.6,B,600
93114,12.6,B,1000
93114,12.6,B,400
93116,12.59,S,1500
93116,12.59,S,1000
93116,12.58,S,500
93116,12.57,S,2000
93116,12.57,S,1400
93117,12.57,S,300
93118,12.6,B,200
93119,12.6,B,100
93119,12.6,B,100
93121,12.6,B,300
93121,12.63,B,100
93122,12.57,S,300
93122,12.57,S,1000
93122,12.57,S,500
93122,12.57,S,100
93122,12.57,S,400
93127,12.6,S,2000
93127,12.63,B,100
93130,12.63,B,100
93138,12.6,S,1200
93147,12.61,S,100
93148,12.61,S,800
93148,12.6,S,10600
93148,12.6,S,500
93148,12.59,S,1000
93148,12.59,S,800
93148,12.58,S,1000
93148,12.57,S,1000
93148,12.55,S,113
93148,12.55,S,787
93151,12.6,B,400
93152,12.6,B,1000
93152,12.59,B,300
93153,12.59,B,700
93154,12.6,B,800
93157,12.6,B,700
93202,12.6,B,200
93208,12.6,B,500
93215,12.6,B,200
93219,12.6,B,1000
93226,12.59,B,1400
93227,12.59,B,300
93227,12.6,B,700
93232,12.6,B,200
93233,12.59,B,500
93233,12.6,B,2500
93238,12.6,B,100
93240,12.57,S,1000
93240,12.56,S,300
93241,12.6,B,200
93241,12.6,B,2800
93242,12.6,B,300
93244,12.6,B,500
93244,12.6,B,400
93244,12.6,B,400
93246,12.6,B,2800
93246,12.6,S,300
93250,12.63,B,200
93255,12.6,S,200
93301,12.63,B,300
93313,12.62,S,400
93313,12.61,S,400
93319,12.63,B,400
93319,12.63,B,100
93323,12.63,B,500
93323,12.63,B,500
